Date,Price
1551999600000,663.29
1552086000000,660.24
1552172400000,660.24
1552258800000,660.24
1552345200000,661.66
1552431600000,663.48
1552518000000,665.15
1552604400000,664.07
1552690800000,609.55
1552777200000,609.43
1552863600000,609.29
1552950000000,611.71
1553036400000,670.16
1553122800000,670.63
1553209200000,595
1553295600000,594.94
1553382000000,594.89
1553468400000,594.95
1553554800000,667.06
1553641200000,665.35
1553727600000,663.55
1553814000000,583.89
1553900400000,580
1553986800000,580
1554069600000,586.85
1554156000000,586.85
1554242400000,586.86
1554328800000,586.86
1554415200000,661.76
1554501600000,662.51
1554588000000,662.51
1554674400000,662.51
1554760800000,663.43
1554847200000,586.81
1554933600000,666.21
1555020000000,665.37
1555106400000,669.27
1555192800000,669.27
1555279200000,669.27
1555365600000,669.64
1555452000000,669.14
1555538400000,669.11
1555624800000,665.23
1555711200000,665.23
1555797600000,665.23
1555884000000,665.23
1555970400000,665.23
1556056800000,599.99
1556143200000,599.99
1556229600000,586.7
1556316000000,599.99
1556402400000,599.99
1556488800000,599.98
1556575200000,660.52
1556661600000,597.99
1556748000000,659.8
1556834400000,593.17
1556920800000,589
1557007200000,589
1557093600000,589
1557180000000,588.9
1557266400000,588.4
1557352800000,565.94
1557439200000,566.34
1557525600000,575.01
1557612000000,575.01
1557698400000,575.11
1557784800000,573.87
1557871200000,572.07
1557957600000,573.02
1558044000000,569.99
1558130400000,564
1558216800000,569.99
1558303200000,569.99
1558389600000,569.9
1558476000000,569.89
1558562400000,569.49
1558648800000,569.49
1558735200000,567.49
1558821600000,588.34
1558908000000,574.13
1558994400000,573.78
1559080800000,571.34
1559167200000,570.41
1559253600000,570.54
1559340000000,573.49
1559426400000,603.6
1559512800000,613.36
1559599200000,570.21
1559685600000,570
1559772000000,559.47
1559858400000,559
1559944800000,553.9
1560031200000,564
1560117600000,576.58
1560204000000,576.1
1560290400000,555.05
1560376800000,554.45
1560463200000,549
1560549600000,547.9
1560636000000,551.54
1560722400000,547.9
1560808800000,547.9
1560895200000,548
1560981600000,548
1561068000000,548
1561154400000,548
1561240800000,548
1561327200000,548
1561413600000,590.59
1561500000000,589.05
1561586400000,547.9
1561672800000,601.35
1561759200000,547.9
1561845600000,547.9
1561932000000,548
1562018400000,547.9
1562104800000,558.53
1562191200000,555.93
