Date,Price
1551999600000,551.15
1552086000000,547.63
1552172400000,547.63
1552258800000,548.76
1552345200000,549.83
1552431600000,546.84
1552518000000,552.72
1552604400000,552.33
1552690800000,552.96
1552777200000,552.96
1552863600000,548.44
1552950000000,549
1553036400000,547.9
1553122800000,539.32
1553209200000,545
1553295600000,541.37
1553382000000,531.19
1553468400000,541.14
1553554800000,542.67
1553641200000,540.35
1553727600000,534.9
1553814000000,532.86
1553900400000,533.66
1553986800000,533.66
1554069600000,533.66
1554156000000,526.97
1554242400000,529
1554328800000,526.99
1554415200000,524.99
1554501600000,520
1554588000000,520
1554674400000,504.36
1554760800000,504.95
1554847200000,506.34
1554933600000,506.43
1555020000000,505.75
1555106400000,508.31
1555192800000,485.67
1555279200000,485.67
1555365600000,507.95
1555452000000,507.59
1555538400000,502.89
1555624800000,505.13
1555711200000,505.13
1555797600000,492.75
1555884000000,504.99
1555970400000,499
1556056800000,499
1556143200000,496.55
1556229600000,492.74
1556316000000,493.18
1556402400000,493.18
1556488800000,488.74
1556575200000,492.3
1556661600000,447.5
1556748000000,446.96
1556834400000,445.86
1556920800000,447.34
1557007200000,447.34
1557093600000,499
1557180000000,499
1557266400000,499
1557352800000,499
1557439200000,493.52
1557525600000,494.7
1557612000000,492.99
1557698400000,491.99
1557784800000,490
1557871200000,447.18
1557957600000,490
1558044000000,474.91
1558130400000,474.61
1558216800000,479.08
1558303200000,463.27
1558389600000,474.75
1558476000000,474.44
1558562400000,445.16
1558648800000,446.27
1558735200000,447.14
1558821600000,447.14
1558908000000,447.27
1558994400000,446.66
1559080800000,445.51
1559167200000,433.25
1559253600000,433.04
1559340000000,435.62
1559426400000,420.37
1559512800000,423.37
1559599200000,437.44
1559685600000,437.77
1559772000000,431.08
1559858400000,438.75
1559944800000,441.18
1560031200000,395.76
1560117600000,440.23
1560204000000,440.09
1560290400000,429.35
1560376800000,427.99
1560463200000,427.47
1560549600000,425.9
1560636000000,425.9
1560722400000,425.08
1560808800000,425.35
1560895200000,418.41
1560981600000,419.73
1561068000000,422.04
1561154400000,425.89
1561240800000,431.89
1561327200000,431.13
1561413600000,431.96
1561500000000,430.83
1561586400000,431.06
1561672800000,430.88
1561759200000,431.66
1561845600000,431.66
1561932000000,407.98
1562018400000,407.42
1562104800000,418.02
1562191200000,426.83
