,Date,Price,Date2,delta
68,1557871200000,572.07,2019-05-14,-0.31365988812797063
69,1557957600000,573.02,2019-05-15,0.1660635936161503
70,1558044000000,569.99,2019-05-16,-0.5287773550661345
71,1558130400000,564.0,2019-05-17,-1.0508956297478944
72,1558216800000,569.99,2019-05-18,1.062056737588657
73,1558303200000,569.99,2019-05-19,0.0
74,1558389600000,569.9,2019-05-20,-0.01578975069738142
75,1558476000000,569.89,2019-05-21,-0.001754693805933183
76,1558562400000,569.49,2019-05-22,-0.07018898383898131
77,1558648800000,569.49,2019-05-23,0.0
78,1558735200000,567.49,2019-05-24,-0.3511914168817687
79,1558821600000,588.34,2019-05-25,3.674073551956858
80,1558908000000,574.13,2019-05-26,-2.4152700819254247
81,1558994400000,573.78,2019-05-27,-0.060961803075965104
82,1559080800000,571.34,2019-05-28,-0.42525009585554496
83,1559167200000,570.41,2019-05-29,-0.1627752301606833
84,1559253600000,570.54,2019-05-30,0.02279062428778289
85,1559340000000,573.49,2019-05-31,0.5170540189995521
