,Date,Price,Date2,delta
68,1557871200000,447.18,2019-05-14,-8.738775510204079
69,1557957600000,490.0,2019-05-15,9.57556241334585
70,1558044000000,474.91,2019-05-16,-3.0795918367346853
71,1558130400000,474.61,2019-05-17,-0.06316986376366795
72,1558216800000,479.08,2019-05-18,0.9418259202292445
73,1558303200000,463.27,2019-05-19,-3.300075144026049
74,1558389600000,474.75,2019-05-20,2.478036566149333
75,1558476000000,474.44,2019-05-21,-0.06529752501316377
76,1558562400000,445.16,2019-05-22,-6.171486383947389
77,1558648800000,446.27,2019-05-23,0.24934854883635893
78,1558735200000,447.14,2019-05-24,0.19494924597216468
79,1558821600000,447.14,2019-05-25,0.0
80,1558908000000,447.27,2019-05-26,0.02907366820235069
81,1558994400000,446.66,2019-05-27,-0.1363829454244514
82,1559080800000,445.51,2019-05-28,-0.2574665293511913
83,1559167200000,433.25,2019-05-29,-2.751902314201704
84,1559253600000,433.04,2019-05-30,-0.04847085978072485
85,1559340000000,435.62,2019-05-31,0.5957879179752323
