_id;webTitle;type;sectionId;sectionName;webPublicationDate;webUrl;apiUrl;source
nyt://article/54f3b35a-559e-5678-9467-679547c60a11;The Trump administration announced an aid package for farmers on Thursday to mollify an important political constituency hurt by a trade clash with China.;News;Business;U.S.;23/05/2019;https://www.nytimes.com/2019/05/23/us/politics/farm-aid-package.html;nyt://article/54f3b35a-559e-5678-9467-679547c60a11;The New York Times
nyt://article/ba193870-e1dd-5e51-a52c-701ac6a66c54;New intelligence on Iran that has alarmed the White House, but divided government officials and foreign allies, was compiled from photos of missiles on small boats.;News;Politics;U.S.;16/05/2019;https://www.nytimes.com/2019/05/16/us/politics/on-politics-images-of-missiles-prompted-debate-over-iran-threat.html;nyt://article/ba193870-e1dd-5e51-a52c-701ac6a66c54;The New York Times
nyt://article/cba3921a-68ce-54c1-98fa-ea61fc97eb54;India's decision and China's virtual cage.;briefing;NYTNow;Briefing;22/05/2019;https://www.nytimes.com/2019/05/22/briefing/indian-elections-china-donald-trump.html;nyt://article/cba3921a-68ce-54c1-98fa-ea61fc97eb54;The New York Times
nyt://article/b2fb9eac-5274-568c-a1b9-29247e433fb3;They’re unsure how Android phones will keep working as Google and other companies assess a Trump administration order.;News;Business;Business Day;24/05/2019;https://www.nytimes.com/2019/05/24/business/huawei-us-china-europe-.html;nyt://article/b2fb9eac-5274-568c-a1b9-29247e433fb3;The New York Times
nyt://article/6123d09f-3d46-5d56-8f00-b5e6026c2e12;Can China survive without American chips?;briefing;NYTNow;Briefing;21/05/2019;https://www.nytimes.com/2019/05/21/briefing/huawei-india-indonesia.html;nyt://article/6123d09f-3d46-5d56-8f00-b5e6026c2e12;The New York Times
nyt://article/c460fae8-fa5e-5da7-b24a-c41f9860584c;As the trade war rages, ambivalence in China about the United States has posed an unusual challenge for the Communist Party.;News;Foreign;World;18/05/2019;https://www.nytimes.com/2019/05/18/world/asia/china-america-trade.html;nyt://article/c460fae8-fa5e-5da7-b24a-c41f9860584c;The New York Times
nyt://article/fea679f3-861e-5c86-8139-b0a32f350720;Here’s what you need to know at the end of the day.;briefing;NYTNow;Briefing;15/05/2019;https://www.nytimes.com/2019/05/15/briefing/abortion-iran-zion-williamson.html;nyt://article/fea679f3-861e-5c86-8139-b0a32f350720;The New York Times
nyt://article/a9851f57-81a4-55d9-8810-4d747b9069e3;Also: Worries about another war, and the continuing crisis at Boeing.;News;SundayBusiness;Business Day;18/05/2019;https://www.nytimes.com/2019/05/18/business/the-week-in-business-facial-recognition-trade-boeing-iran.html;nyt://article/a9851f57-81a4-55d9-8810-4d747b9069e3;The New York Times
nyt://article/f79c4335-24d1-5f08-87ee-bfc506a475e1;The price was relatively small, but the deal may have a big impact on the race between the United States and China to build more powerful computers.;News;Business;Technology;17/05/2019;https://www.nytimes.com/2019/05/17/technology/hp-enterprise-cray-supercomputers.html;nyt://article/f79c4335-24d1-5f08-87ee-bfc506a475e1;The New York Times
nyt://article/77f25f5d-15f0-5b24-a7a9-84c40e66dfc4;Google, Qualcomm and Broadcom are among the companies that have reportedly frozen their supply of components and software to Huawei.;News;Business;Business Day;20/05/2019;https://www.nytimes.com/2019/05/20/business/dealbook/dealbook-briefing-techs-cold-war-just-started.html;nyt://article/77f25f5d-15f0-5b24-a7a9-84c40e66dfc4;The New York Times
