word,webPublicationDate,count
huawei,20/05/2019,9
china,30/05/2019,7
china,21/05/2019,6
mexico,31/05/2019,5
us,21/05/2019,5
huawei,21/05/2019,5
huawei,16/05/2019,5
china,22/05/2019,4
president,17/05/2019,4
tariffs,31/05/2019,4
google,20/05/2019,4
trump,24/05/2019,3
trump,17/05/2019,3
chinese,16/05/2019,3
know,21/05/2019,3
tech,20/05/2019,3
trade,20/05/2019,3
china,23/05/2019,3
trade,23/05/2019,3
us,16/05/2019,3
time,22/05/2019,3
china,31/05/2019,3
chips,21/05/2019,3
company,22/05/2019,3
canada,17/05/2019,3
chinese,22/05/2019,3
white,29/05/2019,3
technology,20/05/2019,3
need,21/05/2019,3
house,29/05/2019,3
tax,31/05/2019,2
canada,31/05/2019,2
attention,21/05/2019,2
detained,16/05/2019,2
growing,29/05/2019,2
house,31/05/2019,2
call,28/05/2019,2
find,30/05/2019,2
retaliation,16/05/2019,2
europe,31/05/2019,2
united,20/05/2019,2
rise,31/05/2019,2
considering,28/05/2019,2
hong,28/05/2019,2
chinese,31/05/2019,2
reliant,21/05/2019,2
economic,31/05/2019,2
must,27/05/2019,2
parts,15/05/2019,2
need,20/05/2019,2
swipe,24/05/2019,2
american,15/05/2019,2
hikvision,22/05/2019,2
huawei,24/05/2019,2
supporters,16/05/2019,2
western,27/05/2019,2
hamstring,20/05/2019,2
charged,22/05/2019,2
yield,29/05/2019,2
dispute,23/05/2019,2
around,16/05/2019,2
semiconductor,21/05/2019,2
took,21/05/2019,2
us,30/05/2019,2
links,28/05/2019,2
china,20/05/2019,2
imported,21/05/2019,2
vancouver,16/05/2019,2
moves,20/05/2019,2
says,21/05/2019,2
chain,24/05/2019,2
approval,15/05/2019,2
said,17/05/2019,2
china,29/05/2019,2
one,27/05/2019,2
us,23/05/2019,2
white,31/05/2019,2
stocks,20/05/2019,2
smartphone,24/05/2019,2
naked,30/05/2019,2
start,31/05/2019,2
around,31/05/2019,2
know,30/05/2019,2
conflicts,31/05/2019,2
chip,22/05/2019,2
calls,29/05/2019,2
data,27/05/2019,2
tech,16/05/2019,2
